Year,Collection,Collection Type,Location,Gender,Colour,Patterns,Shoes,Accessories,Fabric,Theme
2008,RESORT,RESORT,RESORT,WOMEN,"black, white, orange, blue","floral, plain","flats, stilettos","bags, hats","woollen, cotton, silk, polyester","basic, pop"
2008,FALL,COUTURE,NEW YORK,WOMEN,"brown, rusty, white, grey","ruffles, embroidery","pumps, boots",headgear,"mesh, organza, sil, velvet, woollen, polyster","rich, glam"
2008,FALL,MENSWEAR,NEW YORK,MEN,grey,"puffer, checks",pointed oxfords,vests,"tweed, woollen, polyester",classic
2008,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"grey, white, black, blue","ruffles, lace",pointed pumps,chunky jewelry,"silk, polyester, organza, chiffon","pop, basic"
2009,FALL,MENSWEAR,NEW YORK,MEN,"black, grey",plain,boots,none,"tweed, polyester, woollen","grunge,  academia"
2009,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, grey, beige","plain, houndstooth",boots,gold,"silk, tweed, woollen","rich, chique"
2009,FALL,COUTURE,NEW YORK,WOMEN,"black, white, pink, yellow","lace, embroidery, ruffles, floral",pumps,"headgear, silver","mesh, silk,polyster, leather","rich, chique"
2009,SPRING,MENSWEAR,PARIS,MEN,"grey, white",plain,loafers,none,"silk, polyester","basic, minimalistic"
2009,RESORT,RESORT,RESORT,WOMEN,"grey, white, orange, yellow","abstract, lace",stilettos,chunky jewelry,"silk, organza, polyester","pop, minimalistic"
2009,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, black, brown, beige","checks, plain",stilettos,"bags, straps","polyester, cotton, denim","basic, grunge"
2009,SPRING,COUTURE,PARIS,WOMEN,"white, yellow, black, red","ruffles, plain","pumps, stilettos",chunky jewlery,"silk, polyster, satin, organza","glam, rich"
2010,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, blue, brown, green, white","vertical stripess, checks, plain","wedges, flats",chunky jewelry,"polyester, silk","funk, pop"
2010,RESORT,RESORT,RESORT,WOMEN,"black, white, blue, yellow","stripess, abstract","stilettos, pumps","bags, gold","silk, polyester, mesh","y2k, pop"
2010,SPRING,COUTURE,PARIS,WOMEN,"blue, pink, white, black, yellow","tassels, ruffles","pointed pumps, pointed boots","headgear, chunky daimond jewlery","mesh, polyster, denim","flashy, funk"
2010,FALL,MENSWEAR,NEW YORK,MEN,"grey, blue",houndstooth,boots,belts,"tweed, woollen","classic, rich"
2010,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"maroon, green, grey, black","embroidery, checks",pointed boots,"scarf best, jacket","fur, woollen, polyester, tweed","flashy, glam"
2010,FALL,COUTURE,NEW YORK,WOMEN,"red, black, white, red, purple","embroidery, lace",stilettos,chuncky jewllery,"organza, mesh, polyster","pop, rich"
2010,SPRING,MENSWEAR,PARIS,MEN,"yellow, brown, black, white","plain, abstract, stripess","loafers, stilettos","bags, belts","cotton, polyester","basic, soft"
2011,FALL,COUTURE,NEW YORK,WOMEN,"black, white, brown ","ruffles, lace , stripess, houndstooth","boots, pumps","headgear, gloves","organza, mesh, silk, satin","classy, chique"
2011,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, brown, red","checks, plain, abstract",boots,"bags, fur","leather, polyester",pop
2011,FALL,MENSWEAR,NEW YORK,MEN,"black, brown, red","checks, abstract","boots, sneaker",none,"leather, polyester","funk, classic"
2011,SPRING,COUTURE,PARIS,WOMEN,"black, pastel, white, brown, ","ruffles, stripess",stilettos,"headgear, fur","mesh, chiffon, silk","classic, pop"
2011,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, pastel, white, yellow, blue, green","ruffles, abstract, floral","stilettos, pumps","bags, bows","chiffon, cotton, polyester, silk","pop, chique"
2011,SPRING,MENSWEAR,PARIS,MEN,"black, blue, brown, white",plain,"boots, loafers",none,"polyester, leather, tuxedo","pop, classic"
2011,RESORT,RESORT,RESORT,WOMEN,"black, white, brown","polka dots, checks",pumps,"bows, bags","polyester, silk, linen","classic, pop, chique"
2012,FALL,COUTURE,NEW YORK,WOMEN,"black, white, brown, red","tassels, plain",pumps,"fur, headgear","velvet, chiffon, silk, polyster","mobwife, rich"
2012,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, blue","stripess, plain","pumps, boots","fur, belts, bags","silk, polyester, silk","classic, rich"
2012,FALL,MENSWEAR,NEW YORK,MEN,"black, brown, red, green, white","plain, abstract",loafers,jackets,"polyester, woollen","classic, formal"
2012,SPRING,COUTURE,PARIS,WOMEN,"green, blue, white, pastel","floral, plain","loafers, pumps",headgear,"mesh, organza, silk, ployster","classic, pop"
2012,SPRING,READY-TO-WEAR,PARIS,WOMEN,"white, pastel","floral, lacy","stilettos, pumps",bags,"cotton, linen, polyester, mesh","minimalistic, chique"
2012,SPRING,MENSWEAR,PARIS,MEN,"black, blue, orange, grey","checks, stripess",loafers,hats,"tuxedo, oyster, linen, denim","rich, pop"
2012,RESORT,RESORT,RESORT,WOMEN,"black, blue, green, red","floral, lacy",stilettos,none,"polyester, silk",rich
2013,FALL,COUTURE,NEW YORK,WOMEN,"brown, neon, white, black","plain, embroidery",pumps,headgear,"leather, woollen, polyster","rich, pop"
2013,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, white, brown","plain, checks, vertical stripess, houndstooth",boots,bags,"woollen, polyester",mob wife
2013,SPRING,COUTURE,PARIS,WOMEN,"black, white, red, brown","floral, stripess, abstract",pumps,none,"mesh, organza, silk",rich
2013,FALL,MENSWEAR,NEW YORK,MEN,"black, blue, brown","plain, houndstooth","loafers, sneakers",none,"tuxedo, woollen","rich, classic"
2013,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, yellow, red, blue","checks, abstract, floral",stilettos,"belts, bags","polyester, woollen","rich, classic"
2013,SPRING,MENSWEAR,PARIS,MEN,"black, brown, blue, white",plain,loafers,none,"polyester, tuxedo, cotton","rich, formal"
2013,RESORT,RESORT,RESORT,WOMEN,"white, brown","abstract, plain","flats, stilettos",none,"cotton, linen, polyester","chique, rich"
2014,FALL,COUTURE,NEW YORK,WOMEN,"black, white","plain, stripess, animal print","loafers, boots","gold, diamonds","woollen, cotton, silk, polyster",rich
2014,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, pink","houndstooth, animal print","boots, sneakers, wedges","fur,belts, bags","mesh, organza, silk, polyester",classic
2014,FALL,MENSWEAR,NEW YORK,MEN,"brown, black",plain,"loafers, leather shoes","scarf, bags","tuxedo, woollen, polyester","youth, classic"
2014,SPRING,COUTURE,PARIS,WOMEN,"white, blue, pink","polka dots, abstarct",stilettos,"scarf, headgear, diamonds","mesh, organza, silk",pop
2014,SPRING,READY-TO-WEAR,PARIS,WOMEN,"blue, black, red","houndstooth, stripess, abstract",boots,none,"polyester, mesh, silk","rich, pop"
2014,SPRING,MENSWEAR,PARIS,MEN,"black, blue, brown, grey","floral, houndstooth, stripess, plain","leather shoes, loafers","hats, bags","polyester, woollen, tuxedo","rich, pop"
2014,RESORT,RESORT,RESORT,WOMEN,"white, pastel",plain,"stilettos, flats",bags,"linen, polyester, silk","rich, classic"
2015,FALL,COUTURE,NEW YORK,WOMEN,"black, pink","tassels,plain",pumps,headgear,"mesh, silk, polyster",pop
2015,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, blue, green, red","abstract, plain","high knee boots, loafers","headgear, bags","silk, polyester","classic, pop"
2015,FALL,MENSWEAR,NEW YORK,MEN,"brown, grey, black","vertical stripess, houndstooth, plain","leather shoes, loafers","bags, belts","woollen, tuxedo, polyester","classic, pop"
2015,SPRING,PAULO SPRING 2015,SÃO,WOMEN,"white, pastel","abstract, plain","wedges, stilettos","bows, bags","mesh, organza, cotton","chique, rich"
2015,SPRING,SPRING 2015,AUSTRALIA,WOMEN,"white, pastel","abstract, plain","wedges, stilettos, flats",bows,"mesh, organza, silk","chique, rich"
2015,FALL,FALL 2015,RUSSIA,WOMEN,"black, white, red, green",plain,"boots, stilettos",headgear,"mesh, woollen, polyester",mob wife
2015,FALL,FALL 2015,KIEV,WOMEN,"orange, red, white","stripess, plain, abstract","boots, sneakers",belts,"woollen, cotton, silk, polyester","rich, pop"
2015,FALL,FALL 2015,SEOUL,WOMEN,"black, white",plain,"ballets, flats","socks, belts","woollen, tuxedo, polyester",youth
2015,FALL,FALL 2015,TOKYO,WOMEN,"brown, black, grey","plain, houndstooth",boots,"belt, hat","woollen, polyester, tuxedo",youth
2015,FALL,FALL 2015,ISTANBUL,WOMEN,"pastels, black, orange","plain, stripess",boots,none,"mesh, silk, polyester","pop, youth"
2015,SPRING,COUTURE,PARIS,WOMEN,"black, orange, white","abstarct, plain","stilettos, boots",headgeear,"silk, mesh, polyster, cotton",pop
2015,FALL,FALL 2015,COPENHAGEN,WOMEN,"black, brown","stripess, plain, abstract",boots,fur,"woollen, polyester, tuxedo",mob wife
2015,FALL,FALL 2015,STOCKHOLM,WOMEN,"black, brown, white","plain, checks",boots,none,"woollen, polyester, tuxedo",mob wife
2015,FALL,FALL 2015,BERLIN,WOMEN,"white, black, green, yellow, blue","abstract, plain",boots,none,"woollen, polyester, tuxedo, silk",youth
2015,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, white, brown, red, blue","abstract, plain","boots, stilettos","bags, bows","mesh, silk, polyester","pop, youth"
2015,SPRING,MENSWEAR,PARIS,MEN,"black, blue, white","abstract, plain","loafers, leather boots","belts, bags","woollen, polyester, tuxedo","pop, youth"
2015,RESORT,RESORT,RESORT,WOMEN,"white, pink, black",abstract,"loafers, flats","belts, bags",polyester,"youth, pop"
2016,FALL,COUTURE,NEW YORK,WOMEN,"blue, black, red, orange","floral, lace, ruffels","pumps, boots, loafers","gold, silver, bronze","velvet, chiffon, silk, polyster","glam, rich"
2016,FALL,FALL 2016,TBILISI,WOMEN,"pastel, black, maroon",plain,"loafers, boots",chunky jewelry,"leather, silk, mesh, polyester","minimalistic, chique"
2016,FALL,FALL 2016,SEOUL,WOMEN,"black, blue","plain, flowers, stripess, checks",boots,jackets,"polyester, denim, woollen","youth, funk"
2016,FALL,FALL 2016,UKRAINE,WOMEN,"black, grey, red, orange, white","plain, abstract",boots,none,"polyester, woollen, tuxedo",pop
2016,FALL,FALL 2016,TOKYO,WOMEN,"black, blue, beige, white","plain, checks",sneakers,jackets,"denim, polyester",youth
2016,FALL,FALL 2016,RUSSIA,WOMEN,"black, blue, orange, red",abstract,"sneakers, wedges",bags,"polyester, woollen, silk","rich, mob wife"
2016,FALL,FALL 2016,KIEV,WOMEN,"blue, brown, white, grey",plain,"stilettos, boots",none,linen,"classic, chique"
2016,FALL,READY-TO-WEAR,NEW YORK,WOMEN,"black, brown, red, white, pink, blue","plain, stripess",pointed pumps,"bags, hats","organza, silk","chique, classic"
2016,FALL,FALL 2016,STOCKHOLM,WOMEN,"brown, black",plain,boots,jackets,"woollen, tuxedo",classic
2016,FALL,FALL 2016,COPENHAGEN,WOMEN,"black, brown, red, white","plain, stripess","boots, pumps",none,"silk, polyester, woollen","classic, rich"
2016,SPRING,COUTURE,PARIS,WOMEN,"black, white, pastels","plain, floral, abstract, ruffles",boots,"headgear, sunglasses, gold","mesh, organza, lace, cotton",chique
2016,FALL,FALL 2016,BERLIN,WOMEN,"black, white, orange","abstract, animal print",loafers,eyewear,"polyester, woollen","pop, rich"
2016,FALL,MENSWEAR,NEW YORK,MEN,"black, brown, grey","stripess, plain","leather shoes, boots",scarf,"polyester, woollen, tuxedo","rich, classic, youth"
2016,SPRING,SPRING 2016,TBILISI,WOMEN,"black, blue","plain, tassels, flowy","stilettos, sneakers",none,"cotton, denim","classic, minimalistic"
2016,SPRING,SPRING 2016,RUSSIA,WOMEN,"black, orange, pink, white","floral, leaves, stripess, plain","stilettos, sneakers",headgear,"cotton, organza, linen",pop
2016,FALL,FALL 2016,SÃO PAULO ,WOMEN,"black, brown, white",plain,boots,none,"leather, silk, polyester",youth
2016,SPRING,SPRING 2016,SEOUL,WOMEN,"black, blue, beige, white","stripess, plain","sneakers, flats",jackets,"linen, cotton, polyester",youth
2016,SPRING,SPRING 2016,TOKYO,WOMEN,"black, blue, white, pink","abstract, plain",sneakers,headgear,"linen, cotton, polyester","youth, pop"
2016,SPRING,READY-TO-WEAR,PARIS,WOMEN,"black, blue, yellow, green, red","abstract, ruffles, floral",flats,bags,"organza, mesh, cotton, polyester",pop
2016,SPRING,SPRING 2016,KIEV,WOMEN,"grey, white, pink, blue","abstract, plain, flowy","ballets, sneakers, stilettos",none,"cotton, linen",minimalistic
2016,SPRING,SPRING 2016,STOCKHOLM,WOMEN,"white, blue, pink",plain,"stilettos, flats",none,"cotton, linen, polyester",minimalistic
2016,RESORT,RESORT,RESORT,WOMEN,"black, white, orange, pink, red","abstract, stripess, floral",pumps,bags,"cotton, polyester",minimalistic
2016,SPRING,SPRING 2016,COPENHAGEN,WOMEN,"black, white, beige, grey","abstract, plain","loafers, sneakers","headgear, scarf","cotton, linen, polyester, mesh","pop, youth"
2016,SPRING,MENSWEAR,PARIS,MEN,"black, brown, beige, white, blue",abstract,"loafers, flats, sneakers","hats, scarf","polyester, cotton, linen","youth, funk"
2016,SPRING,SPRING 2016,BERLIN,WOMEN,"black, white, pink, beige, green","stripes, abstract",stilettos,none,"polyester, linen, cotton, mesh","youth, funk"
2017,FALL,COUTURE,NEW YORK,WOMEN,"black, white, pink, brown","hounsooth, plain","pumps, stilletos","headgear, diamond, gold","satin, mesh, woollen","classic, chique"
2017,FALL,FALL 2017,TBILISI,WOMEN,"black,red, white",plain,"pumps, sneakers","blazer, bows","leather, nets, linen, mesh",classy
2017,FALL,FALL 2017,SEOUL,WOMEN,"beige, brown, white, blue",plain,leather shoes,jackets,"stain, polyester, organza","youth, funk, y2k"
2017,FALL,FALL 2017,TOKYO,WOMEN,"black, blue, red, pink, yellow","stripess, abstract","boots, sneakers","jackets, belts, hats","velvet, polyester, satin",youth pop
2017,FALL,FALL 2017,RUSSIA,WOMEN,"black, white, pastel","plain, stripess",boots,headgear,"woollen, polyester","classic, minimalistic"
2017,FALL,FALL 2017,UKRAINE,WOMEN,"pink, yellow, brown, black","abstract, plain","loafers, sneakers",none,"polyester, silk, woollen","y2k, youth"
2017,FALL,FALL 2017,KIEV,WOMEN,"white, green, black, white, grey","checks, stripes, plain, abstract","pointed pumps, sneakers",none,"polyester, rayon, nylon, silk","funk, classic"
